
Week,Workplace benefits
2020-12-06,80
2020-12-13,28
2020-12-20,20
2020-12-27,29
2021-01-03,18
2021-01-10,53
2021-01-17,81
2021-01-24,53
2021-01-31,36
2021-02-07,45
2021-02-14,92
2021-02-21,73
2021-02-28,83
2021-03-07,100
2021-03-14,8
2021-03-21,36
2021-03-28,18
2021-04-04,37
2021-04-11,55
2021-04-18,37
2021-04-25,63
2021-05-02,27
2021-05-09,65
2021-05-16,38
2021-05-23,76
2021-05-30,85
2021-06-06,19
2021-06-13,38
2021-06-20,28
2021-06-27,19
2021-07-04,39
2021-07-11,56
2021-07-18,19
2021-07-25,56
2021-08-01,19
2021-08-08,29
2021-08-15,47
2021-08-22,0
2021-08-29,38
2021-09-05,30
2021-09-12,88
2021-09-19,78
2021-09-26,69
2021-10-03,37
2021-10-10,48
2021-10-17,83
2021-10-24,68
2021-10-31,28
2021-11-07,76
2021-11-14,47
2021-11-21,14
2021-11-28,47
